Iteration,Walker,Theta_1,Theta_2,Theta_3,Theta_4,Inner Cost,Outer Cost,Gradient Cost
9,3,-6.497420507982272,-3.7550057419803253,-8.328443339757928,-3.7526966825674166,0.030029592580823883,0.022783356770949552,0.007246235809874331
9,4,-8.852705147812594,-5.867214991636718,-7.543233181349087,-3.4860693850326836,0.032605561688592646,0.022784149767098236,0.00982141192149441
9,5,-7.918164235611266,-5.070178380023005,-7.9821870551674765,-4.114238410531321,0.030640622226560048,0.0227832675859291,0.007857354640630948
9,6,-9.918432811945642,-4.994446235718009,-9.755631558283836,-4.715810224032703,0.03036132247758793,0.022784838255597992,0.007576484221989938
9,7,-8.090802844418825,-2.9809272196915972,-8.989669598343864,-4.034777653941369,0.030242812433663266,0.022784145037133167,0.007458667396530099
9,8,-10.086223690566825,-6.461367538144248,-9.02976484099914,-3.836475603218311,0.030257455389956275,0.02278404158681036,0.007473413803145916
9,9,-9.030126474125037,-4.854356398602107,-9.348323964345804,-2.2856898885923034,0.08910282547874929,0.022870127585407393,0.0662326978933419
9,10,-6.441630062106717,-1.9126727013343379,-8.202790157766115,-4.286342298336937,0.07929743876039747,0.022856670674494366,0.0564407680859031
9,11,-9.470197370803962,-5.200974912487008,-9.524424280197366,-4.49244328806818,0.030347518750784126,0.02278472410283897,0.007562794647945157
9,12,-8.457828065801275,-5.6292164401831775,-8.81776117108685,-4.072710617871462,0.03029826874692726,0.02278412506770489,0.00751414367922237
9,13,-6.510757178016498,-2.4493010192652265,-6.780393760274455,-5.718460816342011,0.035620454116048694,0.02278594759056592,0.012834506525482774
9,14,-7.847368801714541,-6.716305516679731,-8.145877490244796,-4.619679667152906,0.030576098387673206,0.022783837452755095,0.0077922609349181104
9,15,-10.91314761004241,-7.570133765668619,-9.004880812627832,-8.327622717360903,0.03043826470996108,0.022784602284166195,0.007653662425794884
9,16,-10.779833542185953,-6.698565192796871,-7.386397995885854,-6.632610989633153,0.03249493834266027,0.022783727074520695,0.009711211268139574
9,17,-8.363075404122439,-4.116250223590496,-7.7250301931721985,-3.9633344371885078,0.03115423288668447,0.022783077954070478,0.008371154932613992
9,18,-7.772766945752969,-2.2711285127913636,-8.376377770731489,-3.034385466997639,0.03069503644506413,0.02278259471802894,0.007912441727035188
10,0,-7.126299490221783,-3.9264141294874353,-9.22417646426451,-2.569964446519063,0.03173851033635991,0.022784380145337166,0.008954130191022744
10,1,-8.865191562543735,-4.90669062467104,-7.195238968648921,-4.929478640784255,0.033321806459658,0.02278400186874153,0.010537804590916473
10,2,-9.068131360853192,-6.775471315770323,-7.989839082018034,-4.274699245989733,0.030739418251400114,0.02278336008804173,0.007956058163358384
10,3,-7.500537400307741,-4.966855485075568,-6.916090818839618,-5.688596007012071,0.035493748963320096,0.02278478047986593,0.012708968483454167
10,4,-8.554035075335712,-5.080220747236297,-8.76581311486258,-3.3045386391022125,0.03003756077767069,0.022783029913061394,0.007254530864609296
10,5,-9.802869413168064,-5.905272766573525,-8.286809245078643,-4.999188397979463,0.030589297699980377,0.02278390290859046,0.007805394791389916
10,6,-6.874840905899765,-4.02445574195741,-8.990141911866353,-2.583880160963357,0.03345218960597999,0.022786210814146758,0.01066597879183323
10,7,-9.386833413847238,-5.4122403613733985,-7.957409542663594,-4.288186561033722,0.03079319104606834,0.022783320993274875,0.008009870052793466
10,8,-9.076071501802971,-5.9489504275018525,-8.756052943919569,-5.992741354274585,0.030458804462156673,0.022784476596370812,0.007674327865785861
10,9,-9.365071294772775,-7.550230157299288,-8.50326791381424,-5.747228394084072,0.030526567649865093,0.022784251745792735,0.007742315904072358
10,10,-8.455949624796485,-3.228273753510452,-8.703492836280816,-3.632800361778588,0.03018203822187958,0.02278345749220353,0.007398580729676047
